date,week,name,ipeds_id,total_tests,positive_tests,cumulative_cases,cumulative_tests,testing_fall2020,status,status_merge,total_tests_per_1000_enrollment,positive_tests_per_1000_enrollment,cumulative_cases_per_1000_enrollment,cumulative_tests_per_1000_enrollment,enrollment_fulltime,fips,city
2020-11-23,16,Amherst College,164465,316,0,80.0,125021.0,regular testing,"Primarily online, some courses in person",Primarily Online,170.35040431266845,0.0,43.126684636118604,67396.76549865228,1855,25015,Amherst
2020-11-24,16,Amherst College,164465,344,0,80.0,125021.0,regular testing,"Primarily online, some courses in person",Primarily Online,185.44474393530996,0.0,43.126684636118604,67396.76549865228,1855,25015,Amherst
2020-11-25,16,Amherst College,164465,26,0,80.0,125021.0,regular testing,"Primarily online, some courses in person",Primarily Online,14.016172506738544,0.0,43.126684636118604,67396.76549865228,1855,25015,Amherst
2020-11-26,16,Amherst College,164465,0,0,80.0,125021.0,regular testing,"Primarily online, some courses in person",Primarily Online,0.0,0.0,43.126684636118604,67396.76549865228,1855,25015,Amherst
2020-11-27,16,Amherst College,164465,0,0,80.0,125021.0,regular testing,"Primarily online, some courses in person",Primarily Online,0.0,0.0,43.126684636118604,67396.76549865228,1855,25015,Amherst
2020-11-28,17,Amherst College,164465,0,0,80.0,125021.0,regular testing,"Primarily online, some courses in person",Primarily Online,0.0,0.0,43.126684636118604,67396.76549865228,1855,25015,Amherst
2020-11-29,17,Amherst College,164465,0,0,80.0,125021.0,regular testing,"Primarily online, some courses in person",Primarily Online,0.0,0.0,43.126684636118604,67396.76549865228,1855,25015,Amherst
2020-11-30,17,Amherst College,164465,158,1,80.0,125021.0,regular testing,"Primarily online, some courses in person",Primarily Online,85.17520215633422,0.5390835579514826,43.126684636118604,67396.76549865228,1855,25015,Amherst
2020-12-01,17,Amherst College,164465,350,0,80.0,125021.0,regular testing,"Primarily online, some courses in person",Primarily Online,188.67924528301887,0.0,43.126684636118604,67396.76549865228,1855,25015,Amherst
2020-12-02,17,Amherst College,164465,300,1,80.0,125021.0,regular testing,"Primarily online, some courses in person",Primarily Online,161.72506738544473,0.5390835579514826,43.126684636118604,67396.76549865228,1855,25015,Amherst
2020-12-03,17,Amherst College,164465,0,0,80.0,125021.0,regular testing,"Primarily online, some courses in person",Primarily Online,0.0,0.0,43.126684636118604,67396.76549865228,1855,25015,Amherst
2020-12-04,17,Amherst College,164465,0,1,80.0,125021.0,regular testing,"Primarily online, some courses in person",Primarily Online,0.0,0.5390835579514826,43.126684636118604,67396.76549865228,1855,25015,Amherst
2020-12-05,18,Amherst College,164465,0,0,80.0,125021.0,regular testing,"Primarily online, some courses in person",Primarily Online,0.0,0.0,43.126684636118604,67396.76549865228,1855,25015,Amherst
2020-12-06,18,Amherst College,164465,0,1,80.0,125021.0,regular testing,"Primarily online, some courses in person",Primarily Online,0.0,0.5390835579514826,43.126684636118604,67396.76549865228,1855,25015,Amherst
2020-12-07,18,Amherst College,164465,0,0,80.0,125021.0,regular testing,"Primarily online, some courses in person",Primarily Online,0.0,0.0,43.126684636118604,67396.76549865228,1855,25015,Amherst
2020-12-08,18,Amherst College,164465,0,1,80.0,125021.0,regular testing,"Primarily online, some courses in person",Primarily Online,0.0,0.5390835579514826,43.126684636118604,67396.76549865228,1855,25015,Amherst
2020-12-09,18,Amherst College,164465,0,0,80.0,125021.0,regular testing,"Primarily online, some courses in person",Primarily Online,0.0,0.0,43.126684636118604,67396.76549865228,1855,25015,Amherst
2020-12-10,18,Amherst College,164465,0,0,80.0,125021.0,regular testing,"Primarily online, some courses in person",Primarily Online,0.0,0.0,43.126684636118604,67396.76549865228,1855,25015,Amherst
2020-12-11,18,Amherst College,164465,0,0,80.0,125021.0,regular testing,"Primarily online, some courses in person",Primarily Online,0.0,0.0,43.126684636118604,67396.76549865228,1855,25015,Amherst
2020-12-12,19,Amherst College,164465,0,0,80.0,125021.0,regular testing,"Primarily online, some courses in person",Primarily Online,0.0,0.0,43.126684636118604,67396.76549865228,1855,25015,Amherst
2020-12-13,19,Amherst College,164465,0,0,80.0,125021.0,regular testing,"Primarily online, some courses in person",Primarily Online,0.0,0.0,43.126684636118604,67396.76549865228,1855,25015,Amherst
2020-12-14,19,Amherst College,164465,0,0,80.0,125021.0,regular testing,"Primarily online, some courses in person",Primarily Online,0.0,0.0,43.126684636118604,67396.76549865228,1855,25015,Amherst
2020-12-15,19,Amherst College,164465,0,0,80.0,125021.0,regular testing,"Primarily online, some courses in person",Primarily Online,0.0,0.0,43.126684636118604,67396.76549865228,1855,25015,Amherst
